host,endpoint,server_name,authorization_endpoint,issuer,prm_url,auth,oauth_confirmed,remove_reason
quadlockcase.eu,https://quadlockcase.eu/api/mcp,storefront-renderer,https://account.quadlockcase.eu/authentication/oauth/authorize,https://shopify.com/authentication/9418828,https://quadlockcase.eu/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quartzcomponents.com,https://quartzcomponents.com/api/mcp,storefront-renderer,https://shopify.com/authentication/30064246919/oauth/authorize,https://shopify.com/authentication/30064246919,https://quartzcomponents.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quay.com,https://quay.com/api/mcp,storefront-renderer,https://shopify.com/authentication/8985824/oauth/authorize,https://shopify.com/authentication/8985824,https://quay.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quayaustralia.com.au,https://quayaustralia.com.au/api/mcp,storefront-renderer,https://shopify.com/authentication/8613872/oauth/authorize,https://shopify.com/authentication/8613872,https://quayaustralia.com.au/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
qubeluxe.com,https://qubeluxe.com/api/mcp,storefront-renderer,https://shopify.com/authentication/51580928171/oauth/authorize,https://shopify.com/authentication/51580928171,https://qubeluxe.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quboworld.com,https://quboworld.com/api/mcp,storefront-renderer,https://shopify.com/authentication/75203412004/oauth/authorize,https://shopify.com/authentication/75203412004,https://quboworld.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
queendancer.co.uk,https://queendancer.co.uk/api/mcp,storefront-renderer,https://shopify.com/authentication/61611049173/oauth/authorize,https://shopify.com/authentication/61611049173,https://queendancer.co.uk/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
queendancer.com,https://queendancer.com/api/mcp,storefront-renderer,https://shopify.com/authentication/61610950869/oauth/authorize,https://shopify.com/authentication/61610950869,https://queendancer.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
questmoorpharmacy.co.uk,https://questmoorpharmacy.co.uk/api/mcp,storefront-renderer,https://shopify.com/authentication/81091068224/oauth/authorize,https://shopify.com/authentication/81091068224,https://questmoorpharmacy.co.uk/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
questnutrition.com,https://questnutrition.com/api/mcp,storefront-renderer,https://shopify.com/authentication/14638084/oauth/authorize,https://shopify.com/authentication/14638084,https://questnutrition.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
